10;70;44,64; 42,3735 
9;70;44,06; 42,3735 
8;70;43,49; 42,3735 
7;70;42,92; 42,3735 
6;70;42,36; 42,3735 
5;70;41,9; 42,3735 
4;70;41,25; 42,3735 
3;70;41,55; 42,3735 
2;71,5;42,41; 42,98475 
1;72;43,26; 43,1885 
0;74,38;44,1; 44,15835 
-1;76,35;44,93; 44,96112 
-2;77,1;45,75; 45,26675 
-3;81,53;46,57; 47,07198 
-4;83,38;47,37; 47,82585 
-5;85,21;48,17; 48,57158 
-6;87,04;48,97; 49,3173 
-7;88,86;49,75; 50,05895 
-8;90,68;50,53; 50,8006 
-9;92,49;51,3; 51,53817 
-10;94,29;52,07; 52,27168 
-11;96,08;52,83; 53,0011 
-12;97,87;53,59; 53,73053 
-13;99,65;54,3; 54,45588 
-14;101,43;55,09; 55,18122 
-15;103,2;55,83; 55,9025 
-16;104,97;56,56; 56,62378 
-17;106,73;57,29; 57,34098 
-18;108,49;58,02; 58,05817 
-19;110,24;58,74; 58,7713 
-20;111,99;59,46; 59,48442 
-21;113,74;60,17; 60,19755 
-22;115,48;60,88; 60,9066 
-23;117,22;61,58; 61,61565 
-24;118,95;62,28; 62,32063 
-25;120,68;62,98; 63,0256 
-26;122,41;63,67; 63,73058 
-27;124,13;64,36; 64,43147 
-28;125,85;65,05; 65,13238 
-29;127,57;65,73; 65,83327 
-30;129,29;66,41; 66,53417 
-31;131;67,08; 67,231 
-32;132,71;67,76; 67,92783 
-33;134,41;68,43; 68,62057 
-34;136,11;69,09; 69,31332 
-35;137,82;69,76; 70,01015 
-36;139,55;70,41; 70,71513 
-37;141,43;71,03; 71,48122 
-38;142,42;72,58; 71,88465 
-39;144,1;73; 72,56925 
-40;145,01;74,9; 72,94007 
